id,role,riotId
szuEnplkvx1MF5DAgyhkYuhAiM52WA-tKEfSmpHO8ohysX9fu87ThQVDECrRlu28NICKP9HSxhLzaw,TOP,Typothe
OV1_wgAwA9K0JUiOIDiVUznWH9bgZ30F6En_NrfNXabr-Vu-WDO1LykO-SfF1VOD8dwhaPJTnPLgeg,JUNGLE,The Green Mile
EQ4SGvzDgyhlCnT5QdXzxQkKUsIOiE8lorQ0PHOIn2x8QeMbZN3z6WWTY6MXIxfOZtZquN-yIo03Cw,MIDDLE,Six10 z
UHA7VfsLjTj7SXpaZ_3GesrbIq7AkRp-MrPCPBcqbIQWp2ttBjSSy5dFAn3P5Trt3yA1x90ubOb7nQ,BOTTOM,Dashý
6S7AH5JQbDzIg-iwsD5RILNAk0T-sKcTW1sON40x08VD32aHReN_1gC-aCeYok2MexBmaYRCcbO86g,UTILITY,eune mikusik11
Psqhs-ythlMhZeWUJAGFIVpz7B3Ws05xJIIxFxQ8XYa03rcXMC0fSvdupzT_txm0Au5R5mTvwNapKg,TOP,KEVIŃ LEVRONE
FYPWUdw6BQxqJUJvabadQGi5XMPG30IP6VSybovmtMxdmHvG5VkqpjEy4dQx77DdmhaH4rae9eXKzA,JUNGLE,Osmann123
bUm51BoJxkz41oHseN1oJ0EVINz9mheA987VCN2hLgJULt77_p2I5UkmRBohktNbxYHEzxSRr9uiIg,MIDDLE,Silk iwnl
OdUgT0TUlgk_uk1i5sM-9TmyV5hPBMhiIDHe7khcCgp9GoUnANFXD1__f9qJj6N9OocW-FlkxTILhg,BOTTOM,KATEVO
t41Zp21Sf7G9Bwea2eH0GrJyrxcaAInWd0ufOoWPGfQZEWCNpwuRbHk5Xvt81MXPKb3vDUualehteg,UTILITY,Walid Georgey
AvRG_KzIMOUiWSkaZADunBx7wpKIUi7EQtX4g4xMwklsW3BmCgt9aaPD8cOiXT3syi10ZjvHmdUa-w,TOP,blueskies777
qBh_M2zHeJDqge0OhynFAMXEs5cobkgYaNoybifFza7sk0cUd6dMPCTxUGwmD8VIoPW4cLQA7qCOkg,JUNGLE,eune mikusik11
qdn2rUiWpS1k2wxxln4sv2Vbq6Hwjp_Y0xAZ5QuTs7ubmuoYAMionvIMm-ii8o5PSGcaLyoes4caow,MIDDLE,dog no bite 
_Maze4MaTjPBUe22MrU6vAQAiASywZNP2US-2v7u_3nUVpYz1y3bLKkE45qSPd5uzu6W4yg_6IHDFA,BOTTOM,SPOLFCEI 
lM6kRh710pFC1PQhRdapVKXkQgKkJ2E-LcatCEEz6AHzu6DuJ6p_CsnknLvGl3h21BSsq_bMg8P8QQ,UTILITY,erdt
ZSExlLQV8loVp_Wh66YRjGSTrJtTlVVHTI6lTAkpAIJWGn_TYCt768SnCqaw1M9wh3Spb8-u4zgqbA,TOP,sense xvenım
ivY6EsuVLmws1qxEkkph5XVDHSUPxGH2P0qDyAg0_IESItY0QHV3bZWt1uY51Y_F3lWYGSwhNqGHVQ,JUNGLE,Change
9DHz4-jenkYTCoUxr-twwueW_-1qZeBY4cQfotj795eyclJrvCcpcC67BU4-ZuOMN7An9Y1RdaKQ1g,MIDDLE,TwitchTVxKenzuke
_SA57I7c-LYfxY9X3664JXnqMb6Z3VoVk9Q1OyTjf4UudhxzA6FiSZW8IOOyo9iBw4D3NzuT67yjYg,TOP,huge green man
BIKaSnAcdYTCH_fV0NAZmNav0CZkT-twbsfrta9kKR-eBk3BcOxGXRXgVg-EEP3VkoWAh-iCdAtxlw,JUNGLE,DenSygeKamel69
e1Ur9kRaQcHM7XTUqiqmqxcAMI25imnAQLON7G2rI5eny1SYx6Q2PZ0vdSU10NtFaXOsB0aWt9f6og,UTILITY,B1G MENTAL
kPW3T3O0kKIEtdscjufiUM1DZNI1K-NAL7p-5pTXht4JLTTm6Q56L1OJWkq8YOsws_udjl68xetJFw,BOTTOM,SIXTY5
zXEfVKFS-YcEsFtKHkN6zLJLnOunKQN22iEwRXGqVNzd7BY7LoPhypH6J3SnkV_AHA991eXaqVdHow,MIDDLE,Scripting Pickle
I1D7wxNxIYx6hDhPYYXSlovaJ3dQLKNpahbyDfaYt_HCv3cSWYE-s0oHoE_FUIeTqhnH74CZ628M0w,TOP,
Yu-Miq3AnnsDs4VcWiU04oQwQO_MfP9DmeiWc9P0iCbRDtfR8Cksumf5fS3-1vk71cQkZgSmhDlbWw,JUNGLE,Pandaa Is Legend
AsH51g1j7e7njBl9MC8iHUT3LW8atD9RfCMKg98XATYceysWWby0itVIiTztbj7oQo3jn_XS-ZM43A,MIDDLE,dog no bite 
bUbmdelFSPReCk1ut3saj1gPdXTFN5n8bSA7sJAzsDDZ4y019ZPBgiBHnpBpgpL3LJAa-0Z95lSwAw,TOP,Kusa o Miko
I7IRqNlhNL5zGqYi1zVx2LDOAabCfC8Pg0HakmST7PDhKy8CYbqeS8S1gbRJFuluTSxF9t-yfZFO5g,JUNGLE,eune mikusik11
0-9Xfp2vAnhzSiGCIlv3Z82Sd6huvdFfkkjhnzo_MPP8f7X_3k2hxeM49ah1iOBLmLD6n7B55u_DvQ,MIDDLE,Molnigt
McLYy9iwuEs6Z3W_kRZgX8x2np2dHwHLmw9UqZw2l_p9vsJiTVL9fIuNS30rB-01oDNUG8I6wd5P9Q,BOTTOM,RYU Mirraí
hdhsfG6YVJ9Y2-DlCUgWZToWefQNOd2qty_KytWkTXWbb0T3BpoRGoyhLVyFel3kea1gPYJnS-Gyfw,UTILITY,Walid Georgey
WIRX7uGUdAGe9Ih3B28Wiy0Zn5QZLx5bgyMQmrmSmCZk2R0loZNpr34g4rY66Gr8PiOpY_JBUXrK6Q,TOP,stardewvalley67
aRLLL9Zt5ww-LQ6wfvBqVo0Z613SvrlOXML58SLwc6utCsC0EJiQrmKVKzuoycyisT_x1zEH5AgmWw,TOP,PoEs tk
4SsrYL4QdEe0SC44aYaucPpvwod8oMLH0r61pO6TfiB3CRmldnxvUIeI5W1RcZHIq30XMa-I9gPmCw,JUNGLE,João 
NxwDiz8An2ao4Jq1QDNleY2_Jg8DAul6j-XfzMfMIF0DrUVsHLoLG_yjxzfg2tBfOFKxU0OlhDxAJg,MIDDLE,98 Percent Faith
Ur7kz6XYsMLD-t43YkAfy_en2JAJ86TDKanZBCuqDzvSPkSIPJrIWaPjQDB1vTC7YOBMoprqCY9PfA,BOTTOM,McBooshi
or2tpFxMWft0oQZ5jDm7YqOQUJDeG05Q3j_9BSCepT4jDVmOwf5bzZqNcGSnEaBZOhICWzTZy40DCw,UTILITY,Bibiribobidis
5-tcw4XRbcspoZQLsu_MaOSP2euou4qsF84HWIXyl5ejsrpjbeFak2fjq9mt_ce0SpNTdpQcLkoJjQ,TOP,bigböötyeater
EhOzULeQ5InlUgK6HyBCSvW_0eh7q8vzhju9GvZ0XRFYETue2T_dfeaoSAC88eMkdtamdPNDAjZNMw,JUNGLE,ERSIN GOREN
vDNJPqdXxzcU0Ch-kgm8F4yEItMducpveZtW_rdCTfVODOumVhdEg274FOW-zbLUV7fzXoeXaCW2fg,MIDDLE,Furby
WtN9o0WayiCKZIxKyCFY_M4cPKgKXKMiS4bB2EYCsLC2uNnu_v8jnE-o1omLOaMvlwPHSl2HsZeeCQ,TOP,Im Fat and Big
60C8qw7ApTuJSr1L7i8u7ETY3uDWJV6SZYIAWipqGqy8akLMLeQgPik-6kOs6aE7HJIXvs7bXLSSdA,JUNGLE,TH Jerkz
cADRmD5tcEGUZXWstpXJgT3qdTl9LmClDktl5-2ryaoRk_YNKkchCFA7CxeaYsHBX9APlD4eFTrzUw,MIDDLE,Walid Georgey
eVlisA2zT4YpC0PlUYCPlJjc6jEJJhS8qGZY0Rib4lmq3FWdIgtARrT1QY0ilXD0EDFMyW15LfU1sA,BOTTOM,no micro jgler
Jt7bZrzZNR2XA6Kt6cYTgKRhCH9CZBz3ALyvWKAGI2ljg-74Xnu_MW_D2zdDGYWbyyaR62ZhQxdsCQ,UTILITY,tomorrow
51GxI8JETemGLvAIvNP0YSRFpjqr5-B5_X1iivhcvs2pK4ORbnjmgFZq4yi8SrLW91F4GsxlLr2C-Q,TOP,Plαnk
gUvO5GtOjndYEBAkx74ZJrNUKIecJq0rKnKzz4_RQbOvtMMqo9ByNPLhMiwhpND6R-NOckZjALCy3Q,JUNGLE,ERSIN GOREN
Me0OiTSlbrcNOL0U7xgEc4wQPKP2_IJFudKQyxu9HoVFG_9k4kTrZBgIrR_DEalLqmnzy4tQ8ipIyw,TOP,Return of Raider
mj1muK6GlTJ3DqLWyqxcVrhMo2Hr9RgUnfpsTXBKbl9ZMniUZ85Q-gi6pIuQ_B64mdls6_L4OArtcw,JUNGLE,Bigby WoIf
-RFTT7MqT3iY_OZz35JI_oPRD4iNuUWtKFPc1m2RGXenPuF0BkLXNu-ZIEMZqjhJo2Lrlv67o8YMHg,MIDDLE,Incandescence33
TsTCARpDyy3ihy5b_4By9RZHG7DfIyxo2i4nJc0yxucooVSro3bIj2WbQ5L5gyGWacjcxMSTX2mPzg,BOTTOM,GIA Attila
ZogqhcIBW4jyMRPrE8q7zJRQYweJGNbt_cdtNNnzL_z5tZVZfgCKJUlwkcHJCgCQcnRfXi1JQlrh2A,UTILITY,Walid Georgey
qAoa2eT2u3FtZ9i0vs15mcV6VWpGeUblfsP2tsJn_7nQH5pRNiSyAEO9vo1q6mWGWDEHvgrCA4ZYwQ,TOP,FamiIy FriendIy
ZY1MjWiuGjjSuYn2Wlng5J-tNn5t_QGoQdyw_LjeqqL1ThxEVEIqvoR3cEaRTcjmRLb2CSjP9TvkEg,JUNGLE,Zubac
ZTe9KCy_mtl5x5QRDyr-zOfELvvEOlGCuk2sDDcIKOb9KBgyvxn16LBD4JxNcZ26FfCKXEnVH2Drgw,TOP,chaaz47
DNsjuqF5V6yTxBPK1L61ZEbSykQzSlt2H5FUlyX3tazA34fz14grf3iCtuNNp9y4BJnwbK5_USehqw,JUNGLE,FamiIy FriendIy
3C4Bksi5SjLhw3AC7UF1QA0LlVAHEO0IHzFCZsY8QXx_bqusHEmmegtzQHJDnE5AwG4Aab3JOhtALg,MIDDLE,B Ζ
Q-_5D-BNlpDni3jvxDaGWSeQkIYq4aD08p3XrcRS5oNkJBQgR1ol8pxpJKQp0Te5ghYqaZTtpv79dA,BOTTOM,98 Percent Faith
-_vzaP3PsFJP9AdsfTnzB-oOpCXciQA13OLrq8uOVGk8RtL6isyt4qxbiNTHYpFJhDhYmE98QqQ-3Q,UTILITY,Hannover
qyDNTDU-LJTxebqM7__DHZPqYlWwftRKqYBYU6wbGgyx1GvTd8a_LyR-DVSIysFGHv8BpdOAXvNJJg,TOP,GO RagoshixD123
pyLO3nNY_gGyCWJ8PT-Cr1wkaBGbRohk9js6es4uxT9F1Fpqbi8ZKryRTBy3VQl1bmmn4OYGF452-A,TOP,platamon prodigy
BE6d5kLg439uBta2STawh6UiQ9cPBunBISUZ76hFE4_qHiFA7JrgxqRjIFaqP2ogq6FZcYUr1-2vbw,JUNGLE,lec reject1
eJDZBzEZilCdoPYCORNUKUpjEE9V8zqpDu3N2r6QW2pdcQ5UM_MCOrHxlpFpJadwdde64GmIxf0mqQ,MIDDLE,RKRKZN
mmNmP3J5weNgf-Ip4U387WY-BDFz5QhG2w_DJOvQ0JPNDgf-rhDLTrthIdUmQVCcDWpzDCBLlf66zA,BOTTOM,Ag0ny
Hk-1BnTky6D8jk8kllr7rWOieyH1pus79AhFGJKz6ZxfcCw_-FkT5FGnT7pw0iqysMIOPYNLkExAgg,UTILITY,Fleshyy
05c1xaXRoojUJyhDUDOsOaqwav1vRI03anmy5zjzQjoxdC1olNWkZV9STuO5WUVEEOeWbi-6FRimTA,TOP,FimbuIvetr
NTSMiC1m_im7EQwHV7kHgLTLrJ6baPkUHKNnIDwMqANhh3siRmRqywQU1U0JuAdMf6irDZXqL6SMlw,JUNGLE,Error18547
OqlzH2YHWQlvLM020BdNTC5LlN7N0WKmoTI0y6QeCHaKS7wfiA6EBzln6p_5_TxI7IHszeF9QKwypw,MIDDLE,SRTSS
lIL8NKYx1BnYCsV9d4FW4ZMCZfKrxJUikEqnL5gxORHxwgnpMjPY475FF7UDPDnfreu2mcSh5rcwCA,BOTTOM,Skillshot Lander
zVXUvRAQ0Rd1h1vmdOgtF8KWVay2Z4_-v-gfJfrNK3ycuntLOa941g2DdH-zN-8WS-ihFR_9a-0idg,TOP,platamon prodigy
3qY_FabZ_btLojEoXNJ0GcKGD4qWOgptncCQa-kxrIaJ8CoYBBZb4PnMgNX9CgUbyke7--AYcnDfNg,JUNGLE,SMRADOCH ZICSSI
BlVQq2uNFrZdjtNr_ZUf2Q_srDn-Eymdg0PBFgrSRUyrbD308HS-Ahjmd6Rul0N2Q48Y8NDFBMx8YA,MIDDLE,Ag0ny
baeYh_Oy6rraZpheY5Oe8yNXjqBRLFtDz2GdDjMENhkdBAuRMH0ZXFnORGbeYnxBiSIfYMM_38_ugw,BOTTOM,SRTSS
mJD4QlzZlaEgtUknw4i4yWHnV8odQZYS13uRp41CXxf71lhA5ZmPi9bGNBPWzud2MAUb90FZnB_iHQ,UTILITY,Bluesteppi
Q9AIaQ-qMQeoHApGlBDcU30ODicZo9oVEx828AjjPGgYnRsGwaTJb1uEiWj7wd3VzFZt3sQXEnwoEA,TOP,SlowQ
9owFWox1XEjQDcSw85Gsl2IwOWWCrnHCq8ffxRjkn6_Onyz52Up8BtL0X5F8r_ZkcF06PQSLMh3EZg,JUNGLE,Yiken
Ce69hmwHY6S1nN6FuZbuVDaGxbdIUfWMUsHAM77oNhiJYPaX9u6n1LWFXlxfBUPg0fd96HHKLdQj3g,BOTTOM,Sayn CHOKBAR 1
ikqZn_3D_JbovoR-LIb3Xyj5te6MjTZJx-C5BS2whhLP9koGOMko-0Vw1oS_FKPP92w0XBYpKbTxlQ,MIDDLE,Iamatinan
Vv315JxIurGfEUYo3XuYbAoCP9cTB3baRsK3fzOnlfu4a1TyydZsl-q8fzPDs4IUtUwmRbtUqoL_fw,UTILITY,
v1Cn0V_moeiLBZbe-PayH_3RffMZLZlFmLPUZRsUD5-f0etUlSIFLcEl7Jl5WrvzE4L6EJ3iZWAHRA,TOP,Flaviο
9NSzCcgU5v3nqX_4YSLn9ibFTVS5whCAqtQFrqzUiB84V3oH9UvogZHwJ7KQT5lVLWO8kFO4xdi5IA,JUNGLE,Rhilech
WaG_NHjqIWIqFSjIhbSR9NRF4GctAwD9Snl4tq9KbeUooKfDYdC5jneO7e5RqtRgn71Ic2X8PKGg2w,TOP,Bobsik
pGp2Oglg7cYXbTRXH5PHTyM3EXc_0fa7xaS1ciMhJBOpVN8LpFWNpNoaxYO98cIOY33YWzmWScrf6g,JUNGLE,gothic 3 enjoyer
e5oxs7K9jyNcZHKrZ3CDuIVKaMDhKrKg_qiMj4-HwbK9w8hv99gLVWpjlW3n37a6m388zGv8oIT_Ow,MIDDLE,
2SMyKRWcfjtM8B5HD39UNictzxNSS8nRlXLhDXqa-h24xhS6kDp_-eP7x96afhzc6tYCijKevCLKVQ,BOTTOM,c0cky movement
krHMBlbRFdUzFULI0qI8cnYznyvWl3ZO7fFTk1WDNU7459pSxvGsmBD4Rc3gIsfOwcQhvwKrN4TusA,UTILITY,Walid Georgey
605sfFHD4_qX257D7bRJ4ycUvLwetSUSgGcY9u7GdQ5sSlM328VuA1EFZppZW6Sh0brBMU80oC0TTQ,TOP,washed úp
yzn9WwpUn-6kAYO-QAhQUwIHkq3z0L_WiAQvBHw08-sRTyDUnkIbwdNaDsIj9LeKHZXycIfllL3uTA,JUNGLE,naau1
aybM-JTN3Qy4TGPjF2xx7jcVLCF8EGPHN5Q2-PAJuE6Kv3DdO1Q9gx301UdHLTSD0RZVKhQBWG0uHQ,BOTTOM,SeRiN1
iyi69OInKp2C3T60wT5ggB7GBSQZq4tJW3WgVJ0bfQP5O3RqSvYbYIQuw4KYoQP-t-EyKCiquBzaAQ,MIDDLE,TTV Poliko
Ez2Z_b-3IYDb1cadQqlvwhxvz6eYdVZgaM_jarqfizur68IQra9-c-cgUAFdBgySU3otbYFvqBNcgg,TOP,e ti de quen ves
cl7Kvm3OudO5RyRHK53JlDWJkTUCuTPrBLXmHxIFOG4QmXa9Yqnjt1Et5ytLGS3S18D6VNIc0pGQhA,JUNGLE,Techoteco
Dvzt_fVFe0iKg7bMiK_-OxhoufAMJtCFDhMQw6h5men8oGCjd7H5-EAI5pbDyykHcCUt1ClOfBjzYA,MIDDLE,Walid Georgey
3FyWoplju_Vhc7nmU65CqWSR3lIgXNLrFXmP3zh2LNdkwUSTQctfkRniwU3NBX38xGiDLl6BTBx5DQ,BOTTOM,Clopium
85IyEvew1cOfP7SWSv_jpq-odDRjlgKM_oz3u78bzdsaw9JRpr8_6OEeuKAMa1HvfRNpS3-4brZ4-g,UTILITY,Knurble Lux
cOaibPgpHMseDA09a7rEM2Dr5ntM2X1q1ULyj2fLul3XJjko9RcLdRoH2xdpAw6bqxd3MjyDYknkAw,TOP,Six10 z
dUpu5eZzfxCM1lZkS4hrElWI-6TJ5toCpvwEpXwMizMhCyqu5IcXYs-WumhTAEfayeC0XUbw7Myjrg,JUNGLE,ShacStab TTV
F0dUNWgqhWTPge2HFa5YujZeTqibYNgx16e0DDBIAeoRuGs3Z09LJiIlwiKUu2FHgQ_MsC0kCa-7CQ,MIDDLE,wo hen ta
VsU5xeeF29XZi2QJegtEobEEuUNjiIcz9HhBEPh13BIo9K1MrMxiXaOJsWrnrGu99TFvP-4wVxFijQ,TOP,Wo Shi Shanyang
S-sFX2ie5J7BluPYB12QFXxaPg232AJqzodFgFTn_6ipemgbO4dntD0UVnXJ0Yv_99eYEIUHHJrrLQ,JUNGLE,João 
o_MCaL-xIbjl0DCBPVpB9lJKXGX-boxgk98OCDSQtUzvte714L2g3x_b5l5edR-sWd05wKXCyDk34g,MIDDLE,you are a human
VIVx0j64jUKMYRhUkccYq5wCd_OqZgL5kkbGWibrfQ1-ed1E0LdS0ZhCm6YcdNxqR1snsdD6NqnuMQ,BOTTOM,Kenal
