Overtaker,Overtakee,Weight
Hulkenberg,Hamilton,1
Raikkonen,Vergne,6
Bottas,Kvyat,4
Bottas,Vergne,2
Ericsson,Sutil,1
Sutil,Ericsson,4
Bottas,Raikkonen,6
Maldonado,Ericsson,3
Grosjean,Chilton,7
Grosjean,Ericsson,8
Bottas,Chilton,1
Bottas,Gutierrez,4
Perez,Chilton,3
Perez,Gutierrez,5
Gutierrez,Chilton,3
Kvyat,Sutil,4
Bottas,Grosjean,3
Bottas,Ericsson,1
Perez,Ericsson,3
Bottas,Maldonado,3
Bottas,Sutil,2
Gutierrez,Ericsson,3
Perez,Grosjean,4
Perez,Maldonado,5
Grosjean,Maldonado,2
Gutierrez,Maldonado,1
Bottas,Hulkenberg,3
Button,Magnussen,3
Massa,Magnussen,3
Vettel,Ricciardo,1
Magnussen,Massa,1
Kvyat,Gutierrez,9
Alonso,Grosjean,3
Ricciardo,Alonso,5
Vettel,Bottas,4
Ricciardo,Bottas,3
Alonso,Bottas,2
Button,Kobayashi,3
Massa,Kvyat,6
Massa,Kobayashi,3
Hamilton,Hulkenberg,3
Bottas,Magnussen,6
Ericsson,Vergne,1
Raikkonen,Ericsson,3
Sutil,Gutierrez,5
Sutil,Chilton,4
Kvyat,Kobayashi,7
Raikkonen,Chilton,1
Magnussen,Kobayashi,6
Magnussen,Kvyat,3
Grosjean,Kobayashi,7
Raikkonen,Kobayashi,4
Ricciardo,Chilton,2
Alonso,Hulkenberg,5
Grosjean,Bianchi,4
Hulkenberg,Alonso,4
Kobayashi,Ericsson,4
Maldonado,Gutierrez,9
Button,Bottas,2
Hulkenberg,Bottas,3
Kobayashi,Bianchi,2
Ricciardo,Magnussen,5
Perez,Massa,3
Bottas,Kobayashi,1
Alonso,Kobayashi,2
Massa,Maldonado,2
Hulkenberg,Kvyat,4
Hulkenberg,Raikkonen,4
Vergne,Bianchi,6
Alonso,Maldonado,2
Hulkenberg,Maldonado,3
Raikkonen,Kvyat,3
Rosberg,Hamilton,3
Hamilton,Rosberg,6
Raikkonen,Maldonado,4
Perez,Alonso,4
Button,Kvyat,4
Vettel,Kvyat,4
Grosjean,Gutierrez,5
Chilton,Ericsson,3
Button,Raikkonen,3
Ricciardo,Kvyat,3
Kobayashi,Chilton,3
Vettel,Raikkonen,5
Perez,Hulkenberg,3
Button,Alonso,6
Hulkenberg,Massa,1
Bottas,Ricciardo,4
Gutierrez,Kobayashi,3
Ricciardo,Raikkonen,4
Massa,Raikkonen,1
Massa,Ricciardo,1
Vettel,Maldonado,3
Vettel,Magnussen,8
Ricciardo,Maldonado,3
Vettel,Button,5
Ricciardo,Button,6
Chilton,Kobayashi,1
Massa,Button,1
Bottas,Button,3
Ricciardo,Vettel,4
Alonso,Button,6
Raikkonen,Button,2
Ricciardo,Hulkenberg,7
Maldonado,Kobayashi,5
Massa,Vettel,1
Vettel,Massa,3
Perez,Vergne,2
Button,Vergne,2
Rosberg,Massa,2
Button,Ericsson,1
Raikkonen,Bianchi,2
Button,Chilton,2
Alonso,Kvyat,3
Hulkenberg,Magnussen,3
Hulkenberg,Gutierrez,3
Raikkonen,Grosjean,4
Rosberg,Vergne,2
Perez,Button,4
Hulkenberg,Vergne,3
Raikkonen,Magnussen,2
Grosjean,Magnussen,2
Massa,Ericsson,3
Magnussen,Maldonado,7
Massa,Chilton,2
Kvyat,Button,2
Rosberg,Vettel,1
Vergne,Button,3
Magnussen,Gutierrez,5
Gutierrez,Massa,1
Perez,Magnussen,3
Massa,Bianchi,1
Rosberg,Alonso,2
Vergne,Kobayashi,4
Maldonado,Bianchi,5
Button,Gutierrez,3
Vettel,Gutierrez,3
Vettel,Kobayashi,2
Vettel,Chilton,1
Vettel,Bianchi,1
Grosjean,Sutil,3
Ricciardo,Perez,4
Vergne,Ericsson,4
Button,Bianchi,1
Kvyat,Bianchi,6
Magnussen,Bianchi,3
Sutil,Kobayashi,5
Alonso,Magnussen,5
Alonso,Raikkonen,4
Kvyat,Maldonado,6
Gutierrez,Sutil,2
Sutil,Grosjean,3
Bianchi,Kobayashi,3
Ericsson,Kobayashi,2
Gutierrez,Bottas,1
Hamilton,Vettel,2
Massa,Vergne,2
Massa,Alonso,1
Button,Grosjean,4
Massa,Hulkenberg,4
Massa,Bottas,1
Ricciardo,Rosberg,1
Vettel,Perez,2
Button,Hulkenberg,1
Kvyat,Ricciardo,1
Vergne,Sutil,5
Hulkenberg,Chilton,2
Magnussen,Ericsson,5
Hulkenberg,Ericsson,3
Kvyat,Chilton,5
Rosberg,Button,3
Kvyat,Ericsson,4
Vergne,Chilton,3
Ricciardo,Ericsson,2
Perez,Raikkonen,4
Rosberg,Raikkonen,4
Hamilton,Massa,2
Hulkenberg,Bianchi,2
Ricciardo,Bianchi,2
Rosberg,Perez,3
Bottas,Perez,4
Hamilton,Perez,3
Sutil,Bianchi,4
Ericsson,Chilton,3
Alonso,Gutierrez,1
Hamilton,Button,2
Alonso,Bianchi,1
Alonso,Sutil,3
Perez,Kobayashi,1
Alonso,Ricciardo,3
Vettel,Sutil,2
Perez,Bianchi,4
Vettel,Hulkenberg,2
Ricciardo,Sutil,5
Kvyat,Perez,3
Kvyat,Grosjean,2
Kvyat,Vergne,5
Bottas,Vettel,4
Alonso,Vettel,5
Perez,Sutil,2
Vettel,Alonso,4
Perez,Kvyat,3
Ricciardo,Gutierrez,2
Hamilton,Chilton,3
Ricciardo,Grosjean,3
Hamilton,Gutierrez,2
Hamilton,Maldonado,2
Bianchi,Chilton,2
Hamilton,Grosjean,4
Gutierrez,Grosjean,2
Hamilton,Sutil,1
Maldonado,Grosjean,4
Magnussen,Chilton,4
Ricciardo,Vergne,4
Hamilton,Vergne,2
Hamilton,Ricciardo,2
Hamilton,Raikkonen,2
Magnussen,Grosjean,5
Button,Maldonado,1
Sutil,Kvyat,1
Bottas,Hamilton,1
Vergne,Grosjean,4
Maldonado,Kvyat,2
Raikkonen,Sutil,2
Gutierrez,Kvyat,1
Raikkonen,Perez,2
Vergne,Magnussen,3
Maldonado,Sutil,3
Gutierrez,Bianchi,2
Maldonado,Perez,1
Hamilton,Alonso,2
Vergne,Gutierrez,5
Hulkenberg,Button,1
Hamilton,Magnussen,2
Hamilton,Ericsson,2
Hamilton,Kobayashi,1
Kvyat,Magnussen,1
Hamilton,Bianchi,1
Maldonado,Chilton,3
Chilton,Maldonado,1
Button,Ricciardo,2
Magnussen,Rosberg,1
Hulkenberg,Vettel,1
Hamilton,Bottas,1
Vergne,Rosberg,1
Alonso,Vergne,2
Alonso,Rosberg,1
Magnussen,Bottas,3
Button,Sutil,2
Rosberg,Maldonado,2
Rosberg,Bottas,3
Vettel,Vergne,4
Ricciardo,Hamilton,1
Hulkenberg,Sutil,1
Button,Massa,1
Bottas,Alonso,2
Kvyat,Massa,1
Raikkonen,Gutierrez,5
Rosberg,Sutil,2
Rosberg,Gutierrez,2
Magnussen,Vergne,3
Alonso,Perez,1
Button,Perez,4
Bottas,Rosberg,3
Rosberg,Kvyat,2
Button,Rosberg,2
Magnussen,Hulkenberg,1
Massa,Gutierrez,4
Vergne,Hamilton,1
Magnussen,Vettel,1
Chilton,Grosjean,1
Raikkonen,Hulkenberg,1
Hulkenberg,Kobayashi,1
Perez,Bottas,2
Raikkonen,Alonso,1
Bianchi,Ericsson,1
Kvyat,Hulkenberg,1
Rosberg,Chilton,1
Hulkenberg,Rosberg,2
Kvyat,Rosberg,1
Grosjean,Rosberg,1
Massa,Perez,1
Hulkenberg,Perez,1
Vergne,Hulkenberg,1
Vergne,Bottas,1
Vergne,Raikkonen,3
Raikkonen,Bottas,2
Ricciardo,Massa,1
Ericsson,Bianchi,1
